subno,loss,gain,response,condition,resp
1,3,5,accept,"20.60",1
1,4,6,accept,"20.60",1
1,4,8,accept,"20.60",1
1,5,17,accept,"20.60",1
1,6,1,accept,"20.60",1
1,6,14,accept,"20.60",1
1,6,18,accept,"20.60",1
1,6,18,accept,"20.60",1
1,7,17,accept,"20.60",1
1,9,5,accept,"20.60",1
1,10,1,accept,"20.60",1
1,11,19,accept,"20.60",1
1,12,1,accept,"20.60",1
1,12,1,accept,"20.60",1
1,13,18,accept,"20.60",1
1,13,19,accept,"20.60",1
1,15,9,reject,"20.60",0
1,16,0,accept,"20.60",1
1,16,7,accept,"20.60",1
1,16,7,accept,"20.60",1
1,17,5,accept,"20.60",1
1,19,9,accept,"20.60",1
1,20,4,accept,"20.60",1
1,20,15,accept,"20.60",1
1,22,7,accept,"20.60",1
1,23,9,accept,"20.60",1
1,24,13,accept,"20.60",1
1,26,9,accept,"20.60",1
1,27,4,accept,"20.60",1
1,29,7,accept,"20.60",1
1,29,8,accept,"20.60",1
1,30,10,accept,"20.60",1
1,31,17,accept,"20.60",1
1,32,4,accept,"20.60",1
1,32,16,accept,"20.60",1
1,33,17,accept,"20.60",1
1,34,9,accept,"20.60",1
1,34,17,accept,"20.60",1
1,36,10,accept,"20.60",1
1,37,6,accept,"20.60",1
1,37,16,accept,"20.60",1
1,39,8,accept,"20.60",1
1,40,4,accept,"20.60",1
1,40,6,accept,"20.60",1
1,40,14,accept,"20.60",1
1,42,18,accept,"20.60",1
1,42,19,accept,"20.60",1
1,44,15,accept,"20.60",1
1,46,14,accept,"20.60",1
1,47,10,accept,"20.60",1
1,47,15,accept,"20.60",1
1,50,0,accept,"20.60",1
1,50,1,accept,"20.60",1
1,53,12,accept,"20.60",1
1,53,12,accept,"20.60",1
1,54,19,accept,"20.60",1
1,55,15,accept,"20.60",1
1,56,2,accept,"20.60",1
1,56,4,accept,"20.60",1
1,56,7,accept,"20.60",1
1,56,12,accept,"20.60",1
1,58,7,accept,"20.60",1
1,59,9,accept,"20.60",1
1,59,17,accept,"20.60",1
2,0,5,reject,"20.60",0
2,0,13,reject,"20.60",0
2,2,1,reject,"20.60",0
2,3,2,reject,"20.60",0
2,4,3,reject,"20.60",0
2,4,8,accept,"20.60",1
2,4,12,accept,"20.60",1
2,4,13,accept,"20.60",1
2,5,18,accept,"20.60",1
2,6,16,accept,"20.60",1
2,6,16,accept,"20.60",1
2,8,5,reject,"20.60",0
2,8,17,accept,"20.60",1
2,9,6,reject,"20.60",0
2,9,8,accept,"20.60",1
2,10,8,accept,"20.60",1
2,10,11,reject,"20.60",0
2,11,3,reject,"20.60",0
2,12,2,reject,"20.60",0
2,12,7,reject,"20.60",0
2,12,18,reject,"20.60",0
2,13,13,reject,"20.60",0
2,14,19,reject,"20.60",0
2,15,2,reject,"20.60",0
2,15,12,reject,"20.60",0
2,17,9,reject,"20.60",0
2,17,13,reject,"20.60",0
2,19,2,reject,"20.60",0
2,20,14,reject,"20.60",0
2,23,0,reject,"20.60",0
2,23,10,reject,"20.60",0
2,24,4,reject,"20.60",0
2,25,4,reject,"20.60",0
2,26,6,reject,"20.60",0
2,28,0,reject,"20.60",0
2,28,15,reject,"20.60",0
2,29,8,reject,"20.60",0
2,33,4,reject,"20.60",0
2,33,18,reject,"20.60",0
2,34,3,reject,"20.60",0
2,35,0,reject,"20.60",0
2,35,2,reject,"20.60",0
2,35,2,reject,"20.60",0
2,35,14,reject,"20.60",0
2,35,18,reject,"20.60",0
2,36,12,reject,"20.60",0
2,37,2,reject,"20.60",0
2,37,17,reject,"20.60",0
2,39,0,reject,"20.60",0
2,41,6,reject,"20.60",0
2,42,17,reject,"20.60",0
2,43,10,reject,"20.60",0
2,44,8,reject,"20.60",0
2,44,19,reject,"20.60",0
2,45,7,reject,"20.60",0
2,46,13,reject,"20.60",0
2,48,12,reject,"20.60",0
2,49,5,reject,"20.60",0
2,50,1,reject,"20.60",0
2,52,0,reject,"20.60",0
2,52,2,reject,"20.60",0
2,52,3,reject,"20.60",0
2,53,2,reject,"20.60",0
2,56,11,reject,"20.60",0
3,0,1,reject,"20.60",0
